Title,Price,Size,Rating,Review Count,Category,Region,ABV,Body,Sweet-Dry Scale,Style,Tasting Notes,Food Pairing
Pomerol 1945,11862.00,750.0ml bottle,,,Merlot,"Bordeaux, France",,Medium,Dry,Big & Bold,,"Duck & Game Bird, Tomatoes"
Screaming Eagle Cabernet Sauvignon 2010,3372.00,1.5L bottle,,,Cabernet Sauvignon,"Napa Valley, United States",,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Romanee Conti Richebourg,1670.00,750.0ml bottle,,,Pinot Noir,,,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Chateau Palmer 1961,4000.00,750.0ml bottle,,,Bordeaux Blend,"Margaux, France",,,,,,
Krug Clos D'Ambonnay 1996,3999.99,750.0ml bottle,,,Champagne,"Champagne, France",,,,,,
Taylor Fladgate Scion,3999.99,750.0ml bottle,,,Port,Portugal,,,Sweet,,,
Taylor Fladgate Single Harv Port 1863,3750.00,750.0ml bottle,,,Port,"Oporto, Portugal",0.20,,Sweet,,,
Krug Clos D'Ambonnay 1995,3649.99,750.0ml bottle,,,Champagne,"Champagne, France",,,,,,
Screaming Eagle Cabernet Sauvignon 2007,3499.95,750.0ml bottle,,,Cabernet Sauvignon,"Napa Valley, United States",,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Chateau Latour,3360.00,750.0ml bottle,,,Bordeaux Blend,"Bordeaux, France",,,,,,
Screaming Eagle Cabernet Sauvignon 2001,3189.99,750.0ml bottle,,,Cabernet Sauvignon,"Napa Valley, United States",,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Domaine de la Romanee-Conti La Tache,3174.99,750.0ml bottle,,,Pinot Noir,"Burgundy, France",,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Screaming Eagle Cabernet Sauvignon 2008,2999.95,750.0ml bottle,,,Cabernet Sauvignon,"Napa Valley, United States",,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Louis Roederer Cristal Rose Brut 1999,2499.99,1.5L bottle,,,Sparkling Rose Wine,"Champagne, France",,,,,,
Screaming Eagle Cabernet Sauvignon 2006,2499.95,750.0ml bottle,,,Cabernet Sauvignon,"Napa Valley, United States",,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Chateau Lafleur Pomerol 2010,2089.99,750.0ml bottle,,,Bordeaux Blend,"Bordeaux, France",,,,,,
Chateau Latour Premier Grand Cru,2004.80,750.0ml bottle,,,Bordeaux Blend,"Bordeaux, France",,,,,,
Harlan Estate Cabernet 2012,2000.00,750.0ml bottle,,,Cabernet Sauvignon,,,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Chateau Lafleur 1975,2000.00,750.0ml bottle,,,Bordeaux Blend,"Bordeaux, France",,,,,,
Domaine de la Romanee-Conti Richebourg,1699.99,750.0ml bottle,,,Pinot Noir,"Burgundy, France",,Light,Dry,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Domaine de la Romanee-Conti Echezeaux ,1699.00,750.0ml bottle,,,Pinot Noir,"Burgundy, France",0.13,Light,Dry,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
